tile,total_rooftops,rooftops_without_solar,square_meters_with_solar_m2,square_meters_without_solar_m2,panel_area_m2,tile_centroid_lat,tile_centroid_lon,district_name,district_number,year
tile_r0_c0,32,27,10850.499,17649.257,623.344,48.140128,11.539779,Schwanthalerhöhe,08,2024
tile_r0_c1,21,17,3071.19,13732.183,115.688,48.143125,11.539779,Maxvorstadt,03,2024
tile_r0_c2,31,25,17782.961,19048.644,725.604,48.146122,11.539779,Neuhausen-Nymphenburg,09,2024
tile_r0_c3,42,35,22087.602,27732.217,659.555,48.149119,11.539779,Neuhausen-Nymphenburg,09,2024
tile_r0_c4,51,40,12059.705,29096.911,205.49,48.152115,11.539779,Neuhausen-Nymphenburg,09,2024
tile_r0_c5,7,6,456.278,666.443,1.427,48.154029,11.539779,Neuhausen-Nymphenburg,09,2024
tile_r10_c0,30,22,32942.613,9961.355,755.199,48.140128,11.584694,Altstadt-Lehel,01,2024
tile_r10_c1,18,12,20555.282,11925.268,1101.75,48.143125,11.584694,Altstadt-Lehel,01,2024
tile_r10_c2,29,25,5402.818,12911.675,207.448,48.146122,11.584694,Altstadt-Lehel,01,2024
tile_r10_c3,39,33,4521.776,20304.646,123.519,48.149119,11.584694,Maxvorstadt,03,2024
tile_r10_c4,46,38,11581.519,35029.288,433.282,48.152115,11.584694,Schwabing-Freimann,12,2024
tile_r10_c5,1,1,0.0,240.311,0.0,48.154029,11.584694,Schwabing-Freimann,12,2024
tile_r11_c0,27,20,18495.024,37758.765,340.089,48.140128,11.589186,Altstadt-Lehel,01,2024
tile_r11_c1,19,14,11296.08,16314.329,198.974,48.143125,11.589186,Altstadt-Lehel,01,2024
tile_r11_c2,4,4,0.0,436.995,0.0,48.146122,11.589186,Altstadt-Lehel,01,2024
tile_r11_c3,2,2,0.0,93.677,0.0,48.149119,11.589186,Altstadt-Lehel,01,2024
tile_r11_c4,20,17,1622.328,2907.202,52.673,48.152115,11.589186,Altstadt-Lehel,01,2024
tile_r11_c5,5,5,0.0,153.362,0.0,48.154029,11.589186,Schwabing-Freimann,12,2024
tile_r12_c0,20,16,8246.431,15734.991,112.407,48.140128,11.593678,Altstadt-Lehel,01,2024
tile_r12_c1,29,21,7586.553,25912.361,257.724,48.143125,11.593678,Altstadt-Lehel,01,2024
tile_r12_c2,33,25,20449.307,15370.633,180.045,48.146122,11.593678,Altstadt-Lehel,01,2024
tile_r12_c3,21,16,11517.294,7003.552,61.284,48.149119,11.593678,Altstadt-Lehel,01,2024
tile_r12_c4,20,19,621.478,4714.743,12.85,48.152115,11.593678,Altstadt-Lehel,01,2024
tile_r12_c5,0,0,0.0,0.0,0.0,48.154029,11.593678,Schwabing-Freimann,12,2024
tile_r13_c0,34,28,4530.257,13148.789,305.461,48.140128,11.598169,Au-Haidhausen,05,2024
tile_r13_c1,29,26,1544.432,10809.431,93.486,48.143125,11.598169,Bogenhausen,13,2024
tile_r13_c2,18,16,347.669,3928.712,178.774,48.146122,11.598169,Bogenhausen,13,2024
tile_r13_c3,21,17,5772.437,4005.502,118.743,48.149119,11.598169,Bogenhausen,13,2024
tile_r13_c4,20,15,12201.795,9207.272,538.944,48.152115,11.598169,Schwabing-Freimann,12,2024
tile_r13_c5,0,0,0.0,0.0,0.0,48.154029,11.598169,Schwabing-Freimann,12,2024
tile_r14_c0,31,25,18764.623,18372.628,303.12,48.140128,11.602661,Au-Haidhausen,05,2024
tile_r14_c1,56,47,17523.801,19938.09,219.266,48.143125,11.602661,Bogenhausen,13,2024
tile_r14_c2,60,53,11705.845,19135.977,369.857,48.146122,11.602661,Bogenhausen,13,2024
tile_r14_c3,37,31,13145.434,14257.938,919.65,48.149119,11.602661,Bogenhausen,13,2024
tile_r14_c4,34,28,6483.05,12761.513,205.279,48.152115,11.602661,Bogenhausen,13,2024
tile_r14_c5,0,0,0.0,0.0,0.0,48.154029,11.602661,Bogenhausen,13,2024
tile_r15_c0,25,18,15439.372,21176.077,161.917,48.140128,11.607152,Bogenhausen,13,2024
tile_r15_c1,66,59,2917.587,16308.295,83.287,48.143125,11.607152,Bogenhausen,13,2024
tile_r15_c2,74,59,6957.203,15771.794,577.95,48.146122,11.607152,Bogenhausen,13,2024
tile_r15_c3,37,31,10469.316,15463.036,253.839,48.149119,11.607152,Bogenhausen,13,2024
tile_r15_c4,59,50,7184.736,15969.496,355.652,48.152115,11.607152,Bogenhausen,13,2024
tile_r15_c5,3,3,0.0,265.087,0.0,48.154029,11.607152,Bogenhausen,13,2024
tile_r16_c0,30,25,4907.264,24644.183,153.737,48.140128,11.611644,Bogenhausen,13,2024
tile_r16_c1,50,44,7233.658,11666.429,313.284,48.143125,11.611644,Bogenhausen,13,2024
tile_r16_c2,100,86,4688.807,19567.402,545.021,48.146122,11.611644,Bogenhausen,13,2024
tile_r16_c3,74,68,3365.965,18972.605,202.437,48.149119,11.611644,Bogenhausen,13,2024
tile_r16_c4,54,48,3671.951,16316.946,533.219,48.152115,11.611644,Bogenhausen,13,2024
tile_r16_c5,1,1,0.0,12.638,0.0,48.154029,11.611644,Bogenhausen,13,2024
tile_r17_c0,48,43,3537.105,26636.234,101.782,48.140128,11.616135,Bogenhausen,13,2024
tile_r17_c1,40,36,2100.56,19332.421,262.506,48.143125,11.616135,Bogenhausen,13,2024
tile_r17_c2,83,79,2238.048,14577.482,79.559,48.146122,11.616135,Bogenhausen,13,2024
tile_r17_c3,50,43,11879.012,16932.036,207.533,48.149119,11.616135,Bogenhausen,13,2024
tile_r17_c4,29,25,15735.889,14013.872,761.633,48.152115,11.616135,Bogenhausen,13,2024
tile_r17_c5,2,2,0.0,241.637,0.0,48.154029,11.616135,Bogenhausen,13,2024
tile_r18_c0,57,47,14309.477,23187.076,1070.976,48.140128,11.620627,Bogenhausen,13,2024
tile_r18_c1,44,41,1471.552,18188.184,8.818,48.143125,11.620627,Bogenhausen,13,2024
tile_r18_c2,77,68,571.359,4781.391,143.079,48.146122,11.620627,Bogenhausen,13,2024
tile_r18_c3,22,18,14361.88,12749.414,345.921,48.149119,11.620627,Bogenhausen,13,2024
tile_r18_c4,26,21,14260.087,21111.71,558.48,48.152115,11.620627,Bogenhausen,13,2024
tile_r18_c5,25,23,404.765,2340.781,4.943,48.154029,11.620627,Bogenhausen,13,2024
tile_r19_c0,60,51,3321.957,14093.517,304.921,48.140128,11.625119,Bogenhausen,13,2024
tile_r19_c1,103,85,6643.486,19119.305,329.003,48.143125,11.625119,Bogenhausen,13,2024
tile_r19_c2,50,47,714.338,7939.866,291.577,48.146122,11.625119,Bogenhausen,13,2024
tile_r19_c3,31,24,11527.141,12724.999,682.705,48.149119,11.625119,Bogenhausen,13,2024
tile_r19_c4,27,24,932.085,18965.73,228.43,48.152115,11.625119,Bogenhausen,13,2024
tile_r19_c5,4,4,0.0,187.068,0.0,48.154029,11.625119,Bogenhausen,13,2024
tile_r1_c0,26,20,16049.146,14404.536,1438.59,48.140128,11.54427,Schwanthalerhöhe,08,2024
tile_r1_c1,21,16,7467.085,13429.685,271.0,48.143125,11.54427,Maxvorstadt,03,2024
tile_r1_c2,27,22,6214.879,19870.629,609.601,48.146122,11.54427,Maxvorstadt,03,2024
tile_r1_c3,46,39,21239.402,25836.093,361.747,48.149119,11.54427,Neuhausen-Nymphenburg,09,2024
tile_r1_c4,40,34,14158.654,23634.38,1021.481,48.152115,11.54427,Neuhausen-Nymphenburg,09,2024
tile_r1_c5,8,8,0.0,1809.359,0.0,48.154029,11.54427,Neuhausen-Nymphenburg,09,2024
tile_r20_c0,74,64,2875.865,11820.175,378.126,48.140128,11.62961,Bogenhausen,13,2024
tile_r20_c1,80,65,3767.808,12622.069,672.246,48.143125,11.62961,Bogenhausen,13,2024
tile_r20_c2,25,22,2467.752,9510.034,76.479,48.146122,11.62961,Bogenhausen,13,2024
tile_r20_c3,92,73,5259.592,15971.837,385.327,48.149119,11.62961,Bogenhausen,13,2024
tile_r20_c4,96,81,4596.407,22794.122,365.104,48.152115,11.62961,Bogenhausen,13,2024
tile_r20_c5,2,2,0.0,885.287,0.0,48.154029,11.62961,Bogenhausen,13,2024
tile_r21_c0,44,38,2415.289,8861.967,322.565,48.140128,11.634102,Bogenhausen,13,2024
tile_r21_c1,28,21,2804.59,3982.644,189.098,48.143125,11.634102,Bogenhausen,13,2024
tile_r21_c2,41,32,5161.591,8720.033,475.337,48.146122,11.634102,Bogenhausen,13,2024
tile_r21_c3,83,64,6051.157,9837.692,513.948,48.149119,11.634102,Bogenhausen,13,2024
tile_r21_c4,61,50,5217.795,8528.141,356.29,48.152115,11.634102,Bogenhausen,13,2024
tile_r21_c5,5,5,0.0,109.843,0.0,48.154029,11.634102,Bogenhausen,13,2024
tile_r22_c0,44,38,3059.412,5510.766,277.51,48.140128,11.638593,Bogenhausen,13,2024
tile_r22_c1,85,71,5691.412,13416.185,568.141,48.143125,11.638593,Bogenhausen,13,2024
tile_r22_c2,78,70,4501.133,16510.041,215.841,48.146122,11.638593,Bogenhausen,13,2024
tile_r22_c3,135,123,3340.817,25086.027,326.912,48.149119,11.638593,Bogenhausen,13,2024
tile_r22_c4,137,121,4508.666,22915.692,549.882,48.152115,11.638593,Bogenhausen,13,2024
tile_r22_c5,3,3,0.0,186.67,0.0,48.154029,11.638593,Bogenhausen,13,2024
tile_r23_c0,58,52,5918.399,9578.552,133.232,48.140128,11.643085,Bogenhausen,13,2024
tile_r23_c1,94,81,3766.201,17036.231,430.884,48.143125,11.643085,Bogenhausen,13,2024
tile_r23_c2,51,43,7138.489,16016.36,1157.7,48.146122,11.643085,Bogenhausen,13,2024
tile_r23_c3,135,122,2317.894,22146.936,373.748,48.149119,11.643085,Bogenhausen,13,2024
tile_r23_c4,147,128,5445.304,22422.397,718.629,48.152115,11.643085,Bogenhausen,13,2024
tile_r23_c5,39,36,334.383,3552.706,27.144,48.154029,11.643085,Bogenhausen,13,2024
tile_r24_c0,16,14,6599.847,13432.248,141.73,48.140128,11.647576,Bogenhausen,13,2024
tile_r24_c1,18,11,8521.936,5990.136,182.192,48.143125,11.647576,Bogenhausen,13,2024
tile_r24_c2,78,68,2265.796,13990.97,534.184,48.146122,11.647576,Bogenhausen,13,2024
tile_r24_c3,100,81,5455.298,18432.084,612.183,48.149119,11.647576,Bogenhausen,13,2024
tile_r24_c4,81,67,5175.434,15130.843,801.56,48.152115,11.647576,Bogenhausen,13,2024
tile_r24_c5,22,20,1789.375,2700.896,11.432,48.154029,11.647576,Bogenhausen,13,2024
tile_r25_c0,23,20,712.483,4722.07,121.97,48.140128,11.652068,Bogenhausen,13,2024
tile_r25_c1,39,35,1451.768,6870.67,321.67,48.143125,11.652068,Bogenhausen,13,2024
tile_r25_c2,102,91,3489.11,16463.072,453.135,48.146122,11.652068,Bogenhausen,13,2024
tile_r25_c3,97,82,3604.345,14513.922,613.573,48.149119,11.652068,Bogenhausen,13,2024
tile_r25_c4,5,4,831.393,252.319,391.961,48.152115,11.652068,Bogenhausen,13,2024
tile_r25_c5,5,2,500.0,43.96,203.244,48.154029,11.652068,Bogenhausen,13,2024
tile_r26_c0,25,18,14259.351,5441.158,1650.31,48.140128,11.65656,Bogenhausen,13,2024
tile_r26_c1,15,13,1349.298,4827.292,99.012,48.143125,11.65656,Bogenhausen,13,2024
tile_r26_c2,81,66,4969.651,21093.219,477.355,48.146122,11.65656,Bogenhausen,13,2024
tile_r26_c3,76,60,6392.159,17080.657,699.491,48.149119,11.65656,Bogenhausen,13,2024
tile_r26_c4,55,50,3496.437,10006.426,437.0,48.152115,11.65656,Bogenhausen,13,2024
tile_r26_c5,3,2,150.698,47.403,3.6,48.154029,11.65656,Bogenhausen,13,2024
tile_r27_c0,17,15,846.234,2229.166,255.716,48.140128,11.659538,Bogenhausen,13,2024
tile_r27_c1,8,8,0.0,972.511,0.0,48.143125,11.659538,Bogenhausen,13,2024
tile_r27_c2,31,26,1562.205,4192.222,133.097,48.146122,11.659538,Bogenhausen,13,2024
tile_r27_c3,12,8,1373.907,1793.946,83.192,48.149119,11.659538,Bogenhausen,13,2024
tile_r27_c4,7,6,288.681,235.067,4.053,48.152115,11.659538,Bogenhausen,13,2024
tile_r27_c5,1,1,0.0,38.124,0.0,48.154029,11.659538,Bogenhausen,13,2024
tile_r2_c0,10,7,33246.575,5562.456,968.446,48.140128,11.548762,Ludwigsvorstadt-Isarvorstadt,02,2024
tile_r2_c1,13,8,24903.582,6018.416,1418.101,48.143125,11.548762,Ludwigsvorstadt-Isarvorstadt,02,2024
tile_r2_c2,25,22,14603.109,18099.452,1191.679,48.146122,11.548762,Maxvorstadt,03,2024
tile_r2_c3,41,34,10708.84,26876.826,439.168,48.149119,11.548762,Maxvorstadt,03,2024
tile_r2_c4,45,39,12949.005,19886.447,354.164,48.152115,11.548762,Neuhausen-Nymphenburg,09,2024
tile_r2_c5,3,3,0.0,152.347,0.0,48.154029,11.548762,Neuhausen-Nymphenburg,09,2024
tile_r3_c0,19,18,12283.729,16004.495,297.809,48.140128,11.553253,Ludwigsvorstadt-Isarvorstadt,02,2024
tile_r3_c1,30,22,16357.245,13301.436,467.321,48.143125,11.553253,Maxvorstadt,03,2024
tile_r3_c2,24,18,33000.729,24541.456,650.075,48.146122,11.553253,Maxvorstadt,03,2024
tile_r3_c3,32,23,24251.433,24903.815,725.823,48.149119,11.553253,Maxvorstadt,03,2024
tile_r3_c4,37,29,17579.288,28853.287,520.463,48.152115,11.553253,Maxvorstadt,03,2024
tile_r3_c5,3,2,477.358,77.505,39.707,48.154029,11.553253,Neuhausen-Nymphenburg,09,2024
tile_r4_c0,25,20,26190.084,37698.251,350.721,48.140128,11.557745,Ludwigsvorstadt-Isarvorstadt,02,2024
tile_r4_c1,19,16,36379.902,17986.463,2191.396,48.143125,11.557745,Maxvorstadt,03,2024
tile_r4_c2,32,24,28653.585,18625.476,465.784,48.146122,11.557745,Maxvorstadt,03,2024
tile_r4_c3,25,21,23543.054,22631.992,239.607,48.149119,11.557745,Maxvorstadt,03,2024
tile_r4_c4,31,26,8570.644,26282.812,431.79,48.152115,11.557745,Maxvorstadt,03,2024
tile_r4_c5,4,4,0.0,365.16,0.0,48.154029,11.557745,Maxvorstadt,03,2024
tile_r5_c0,24,15,37243.318,17308.244,852.195,48.140128,11.562236,Ludwigsvorstadt-Isarvorstadt,02,2024
tile_r5_c1,34,28,28111.716,13739.577,302.657,48.143125,11.562236,Maxvorstadt,03,2024
tile_r5_c2,28,19,27950.039,20180.085,1335.185,48.146122,11.562236,Maxvorstadt,03,2024
tile_r5_c3,24,17,36461.948,24853.728,534.34,48.149119,11.562236,Maxvorstadt,03,2024
tile_r5_c4,36,27,17531.133,37214.969,148.675,48.152115,11.562236,Maxvorstadt,03,2024
tile_r5_c5,13,13,0.0,1035.515,0.0,48.154029,11.562236,Maxvorstadt,03,2024
tile_r6_c0,27,23,12687.262,24427.666,514.228,48.140128,11.566728,Altstadt-Lehel,01,2024
tile_r6_c1,35,27,17512.442,27317.01,727.58,48.143125,11.566728,Maxvorstadt,03,2024
tile_r6_c2,21,13,15613.178,7005.738,1693.715,48.146122,11.566728,Maxvorstadt,03,2024
tile_r6_c3,25,20,38513.385,21412.314,556.533,48.149119,11.566728,Maxvorstadt,03,2024
tile_r6_c4,41,37,14405.745,33455.503,390.271,48.152115,11.566728,Maxvorstadt,03,2024
tile_r6_c5,7,7,0.0,574.375,0.0,48.154029,11.566728,Maxvorstadt,03,2024
tile_r7_c0,22,15,36976.843,15890.991,421.368,48.140128,11.57122,Altstadt-Lehel,01,2024
tile_r7_c1,37,31,13546.012,19834.236,724.616,48.143125,11.57122,Maxvorstadt,03,2024
tile_r7_c2,30,22,20954.265,18940.07,1117.439,48.146122,11.57122,Maxvorstadt,03,2024
tile_r7_c3,24,18,22501.505,11500.174,626.632,48.149119,11.57122,Maxvorstadt,03,2024
tile_r7_c4,38,32,16345.751,27139.551,141.774,48.152115,11.57122,Maxvorstadt,03,2024
tile_r7_c5,1,1,0.0,110.079,0.0,48.154029,11.57122,Maxvorstadt,03,2024
tile_r8_c0,20,13,41738.307,25651.661,708.228,48.140128,11.575711,Altstadt-Lehel,01,2024
tile_r8_c1,26,17,30144.735,19769.52,2579.963,48.143125,11.575711,Maxvorstadt,03,2024
tile_r8_c2,27,22,27626.986,21599.829,971.195,48.146122,11.575711,Maxvorstadt,03,2024
tile_r8_c3,22,17,49540.846,11500.606,173.118,48.149119,11.575711,Maxvorstadt,03,2024
tile_r8_c4,25,18,46108.792,16825.078,292.039,48.152115,11.575711,Maxvorstadt,03,2024
tile_r8_c5,28,26,423.1,2863.166,13.891,48.154029,11.575711,Maxvorstadt,03,2024
tile_r9_c0,26,19,42605.725,20078.75,1933.986,48.140128,11.580203,Altstadt-Lehel,01,2024
tile_r9_c1,11,9,3090.597,10571.962,133.108,48.143125,11.580203,Altstadt-Lehel,01,2024
tile_r9_c2,22,16,23971.423,27030.802,972.337,48.146122,11.580203,Maxvorstadt,03,2024
tile_r9_c3,38,30,12291.98,24387.764,738.366,48.149119,11.580203,Maxvorstadt,03,2024
tile_r9_c4,18,13,23046.501,17208.947,992.829,48.152115,11.580203,Maxvorstadt,03,2024
tile_r9_c5,11,11,0.0,1660.758,0.0,48.154029,11.580203,Maxvorstadt,03,2024
